Site	Key	rule	attribute_name	page_id	rule	attribute_name	page_id																														
www.frys.com	5668-Switches	//li[@style='width: 160px;'][1]/text()	Frys.com #	TRUE	//li[@style='width: 160px;'][2]/text()	UPC #	TRUE	//li[@style='width: 160px;'][2]/../li[4]/text()	Model #	TRUE																											
www.frys.com	5669-Tablet Screen Protection	//li[@style='width: 160px;'][1]/text()	Frys.com #	TRUE	//li[@style='width: 160px;'][2]/text()	UPC #	TRUE	//li[@style='width: 160px;'][2]/../li[4]/text()	Model #	TRUE																											
www.frys.com	5670-Telephone Accessories	//li[@style='width: 160px;'][1]/text()	Frys.com #	TRUE	//li[@style='width: 160px;'][2]/text()	UPC #	TRUE	//li[@style='width: 160px;'][2]/../li[4]/text()	Model #	TRUE																											
www.frys.com	5671-Wi-Fi Multiroom Audio	//li[@style='width: 160px;'][1]/text()	Frys.com #	TRUE	//li[@style='width: 160px;'][2]/text()	UPC #	TRUE	//li[@style='width: 160px;'][2]/../li[4]/text()	Model #	TRUE																											
www.frys.com	5672-headphone	//li[@style='width: 160px;'][1]/text()	Frys.com #	TRUE	//li[@style='width: 160px;'][2]/text()	UPC #	TRUE	//li[@style='width: 160px;'][2]/../li[4]/text()	Model #	TRUE																											
www.frys.com	5673-iPad Cables & Adapters	//li[@style='width: 160px;'][1]/text()	Frys.com #	TRUE	//li[@style='width: 160px;'][2]/text()	UPC #	TRUE	//li[@style='width: 160px;'][2]/../li[4]/text()	Model #	TRUE																											
www.frys.com	5674-iPad Cleaning Kits	//li[@style='width: 160px;'][1]/text()	Frys.com #	TRUE	//li[@style='width: 160px;'][2]/text()	UPC #	TRUE	//li[@style='width: 160px;'][2]/../li[4]/text()	Model #	TRUE																											
www.fullcompass.com	5676-1 / 4\" to 1 / 8\" Mini Adapters	//*[@id='ProductInfo']/p/text()	OUR PART #	TRUE																																	
www.fullcompass.com	5677-500 Series Preamps	//*[@id='ProductInfo']/p/text()	OUR PART #	TRUE																																	
www.fullcompass.com	5678-Accessories and Parts for Lighting fixtures	//*[@id='ProductInfo']/p/text()	OUR PART #	TRUE																																	
www.fullcompass.com	5679-Accessories for Signal Processors	//*[@id='ProductInfo']/p/text()	OUR PART #	TRUE																																	
www.fullcompass.com	5680-Accessories for Speakers	//*[@id='ProductInfo']/p/text()	OUR PART #	TRUE																																	
www.fullcompass.com	5681-Accessories, Adaptors for Lighting	//*[@id='ProductInfo']/p/text()	OUR PART #	TRUE																																	
www.fullcompass.com	5682-Accessories, Computer	//*[@id='ProductInfo']/p/text()	OUR PART #	TRUE																																	
www.fullcompass.com	5683-Accessories, Misc for Still Cameras	//*[@id='ProductInfo']/p/text()	OUR PART #	TRUE																																	
www.fullcompass.com	5684-Acoustic Bass Sets	//*[@id='ProductInfo']/p/text()	OUR PART #	TRUE																																	
www.fullcompass.com	5685-Acoustic Wall / Ceiling Materials	//*[@id='ProductInfo']/p/text()	OUR PART #	TRUE																																	
www.fullcompass.com	5686-All - In - One Wireless Intercom Headsets	//*[@id='ProductInfo']/p/text()	OUR PART #	TRUE																																	
www.fullcompass.com	5687-Amplifier Transformers	//*[@id='ProductInfo']/p/text()	OUR PART #	TRUE																																	
www.fullcompass.com	5688-Attenuators, Passive Level Control	//*[@id='ProductInfo']/p/text()	OUR PART #	TRUE																																	
www.fullcompass.com	5689-Audio / Video Tape Erasers	//*[@id='ProductInfo']/p/text()	OUR PART #	TRUE																																	
www.fullcompass.com	5690-Bass Combo Amps	//*[@id='ProductInfo']/p/text()	OUR PART #	TRUE																																	
www.fullcompass.com	5691-Bass Guitar Packages	//*[@id='ProductInfo']/p/text()	OUR PART #	TRUE																																	
www.fullcompass.com	5692-Bass Guitars, 6+ String	//*[@id='ProductInfo']/p/text()	OUR PART #	TRUE																																	
www.fullcompass.com	5693-Betacam Video Recorders	//*[@id='ProductInfo']/p/text()	OUR PART #	TRUE																																	
