SITO	CHIAVE	PATH	LABEL	PAGE_ID	PATH_2	LABEL_2	PAGE_ID_2	PATH_3	LABEL_3	PAGE_ID_3	PATH_4	LABEL_4	PAGE_ID_4	PATH_5	LABEL_5	PAGE_ID_5	PATH_6	LABEL_6	PAGE_ID_6
www.frontierpc.com	9821-Walkie Talkies	//b[contains(.,"Web ID:")]/following-sibling::text()	Web ID	1	//b[contains(.,"Mfr. Part:")]/following-sibling::node()/text()	Mfr. Part	1												
www.frontierpc.com	9822-camera	//b[contains(.,"Web ID:")]/following-sibling::text()	Web ID	1	//b[contains(.,"Mfr. Part:")]/following-sibling::node()/text()	Mfr. Part	1												
www.frys.com	9825-Air Quality	//li[contains(./text(),"UPC")]/text()	UPC	1	//li[contains(./text(),"Model")]/text()	Model	1												
www.frys.com	9826-Alarms	//li[contains(./text(),"UPC")]/text()	UPC	1	//li[contains(./text(),"Model")]/text()	Model	1												
www.frys.com	9827-Audio Cables & Connectors	//li[contains(./text(),"UPC")]/text()	UPC	1	//li[contains(./text(),"Model")]/text()	Model	1												
www.frys.com	9828-Barebone Systems	//li[contains(./text(),"UPC")]/text()	UPC	1	//li[contains(./text(),"Model")]/text()	Model	1												
www.frys.com	9829-Batteries - Notebook	//li[contains(./text(),"UPC")]/text()	UPC	1	//li[contains(./text(),"Model")]/text()	Model	1												
www.frys.com	9830-Binoculars	//li[contains(./text(),"UPC")]/text()	UPC	1	//li[contains(./text(),"Model")]/text()	Model	1												
www.frys.com	9831-Blu Ray and DVD Players	//li[contains(./text(),"UPC")]/text()	UPC	1	//li[contains(./text(),"Model")]/text()	Model	1												
www.frys.com	9832-CPU/Processor	//li[contains(./text(),"UPC")]/text()	UPC	1	//li[contains(./text(),"Model")]/text()	Model	1												
www.frys.com	9833-Cables - Audio Cables & Accessories	//li[contains(./text(),"UPC")]/text()	UPC	1	//li[contains(./text(),"Model")]/text()	Model	1												
www.frys.com	9834-Calculators	//li[contains(./text(),"UPC")]/text()	UPC	1	//li[contains(./text(),"Model")]/text()	Model	1												
www.frys.com	9835-Cameras	//li[contains(./text(),"UPC")]/text()	UPC	1	//li[contains(./text(),"Model")]/text()	Model	1												
www.frys.com	9836-Car Video	//li[contains(./text(),"UPC")]/text()	UPC	1	//li[contains(./text(),"Model")]/text()	Model	1												
www.frys.com	9837-Carrying Cases by Size	//li[contains(./text(),"UPC")]/text()	UPC	1	//li[contains(./text(),"Model")]/text()	Model	1												
www.frys.com	9838-Cases	//li[contains(./text(),"UPC")]/text()	UPC	1	//li[contains(./text(),"Model")]/text()	Model	1												
www.frys.com	9839-Cell Phone Chargers	//li[contains(./text(),"UPC")]/text()	UPC	1	//li[contains(./text(),"Model")]/text()	Model	1												
www.frys.com	9840-Cell Phone Connectivity	//li[contains(./text(),"UPC")]/text()	UPC	1	//li[contains(./text(),"Model")]/text()	Model	1												
www.frys.com	9841-Cell Phone Replacement Parts	//li[contains(./text(),"UPC")]/text()	UPC	1	//li[contains(./text(),"Model")]/text()	Model	1												
www.frys.com	9842-Cleaning & Care	//li[contains(./text(),"UPC")]/text()	UPC	1	//li[contains(./text(),"Model")]/text()	Model	1												
www.frys.com	9843-Computer Locks	//li[contains(./text(),"UPC")]/text()	UPC	1	//li[contains(./text(),"Model")]/text()	Model	1												
www.frys.com	9844-Docking Stations & Port Replicators	//li[contains(./text(),"UPC")]/text()	UPC	1	//li[contains(./text(),"Model")]/text()	Model	1												
www.frys.com	9845-Fire & Safety	//li[contains(./text(),"UPC")]/text()	UPC	1	//li[contains(./text(),"Model")]/text()	Model	1												
www.frys.com	9846-Fitness & Exercise	//li[contains(./text(),"UPC")]/text()	UPC	1	//li[contains(./text(),"Model")]/text()	Model	1												
www.frys.com	9847-Flash Cards	//li[contains(./text(),"UPC")]/text()	UPC	1	//li[contains(./text(),"Model")]/text()	Model	1												
www.frys.com	9848-Hair Care	//li[contains(./text(),"UPC")]/text()	UPC	1	//li[contains(./text(),"Model")]/text()	Model	1												
